id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33090780,Loft suite met uitzicht vanaf 5e etage,9307481,Bart  Ronald,,Oud-Noord,52.39477,4.9035,Entire home/apt,225,2,0,,,1,305
33096100,Stylish Apt. at perfect central location,10732521,Martins,,Centrum-West,52.37806,4.89498,Entire home/apt,200,3,1,2019-05-27,0.70,1,0
33103265,Two bedrooms in a cosy and huge Amsterdam flat,14681534,Marie,,Westerpark,52.37543,4.87241,Private room,120,2,6,2019-06-23,1.67,1,15
33108236,Exclusive & Spacious 2 bedroom appartement,4946643,Sytze,,Centrum-West,52.37473,4.88068,Entire home/apt,170,1,17,2019-05-29,5.05,2,7
33108275,In the center of true Amsterdam,249205045,Timur,,Centrum-West,52.3726,4.88203,Entire home/apt,299,3,2,2019-06-15,1.62,1,0
33114235,Nice room 10 min From citcy,249260420,Sab,,IJburg - Zeeburgereiland,52.36493,4.98779,Private room,120,1,0,,,2,0
33124128,Sunny 2-bedroom family nest near Anne Frank Museum,22542492,Alizee,,Centrum-West,52.37182,4.8814,Entire home/apt,240,2,3,2019-06-15,0.90,1,0
33125093,Soggiorna e risparmia ad Amsterdam,247803310,Daniele,,Noord-West,52.40685,4.8985,Private room,65,1,0,,,1,22
33125260,Large family home with sunny garden!(Free parking),249367597,Anne,,Noord-West,52.42121,4.8912,Entire home/apt,120,3,0,,,1,38
33126522,Elegant Comfy Fresh Room: Heart of A’dam South,60232307,Natasha,,Zuid,52.34417,4.85961,Private room,85,2,26,2019-07-01,7.22,1,62
33127916,Modern Light Charming Appartement near Vondelpark,88120745,Asal,,Zuid,52.35106,4.85343,Entire home/apt,165,3,1,2019-04-28,0.42,1,83
33128102,NEWLY RENOVATED LUXURY APT. | Jordaan,249386556,Cathelijn,,Centrum-West,52.37235,4.87601,Entire home/apt,140,2,3,2019-04-02,0.85,1,0
33129141,Willem de Zwijger Luxury Ark,52650619,Annemarie & Renske ,,Westerpark,52.37814,4.86348,Private room,146,1,5,2019-06-24,4.17,1,298
33130243,"Artist apt in touristic center, view on Vondelpark",39113987,BnB-Beheer,,De Baarsjes - Oud-West,52.36086,4.86897,Entire home/apt,160,2,8,2019-06-13,3.33,9,0
33130925,Bright Westerpark Apartment with Rooftop Terrace,4625543,Freddy,,Westerpark,52.38427,4.87068,Entire home/apt,360,1,4,2019-06-30,1.50,1,35
